GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
625,Sudan,1984,2002,Westerners,625-WES,625-NOR,,0,,62504,-99,-99,-99,-99,4,2,40,60
625,Sudan,2003,2011,Northerners,625-NOR,,625-WES,1,,,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,2003,2011,Southerners,625-SOU,,,1,,62501,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,2003,2011,Westerners,625-WES,625-NOR,,0,,62504,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,2012,2013,Northerners,625-NOR,,625-WES,1,,,-99,-99,-99,-99,-99,-99,-99,-99
625,Sudan,2012,2013,Westerners,625-WES,625-NOR,,0,,62504,-99,-99,-99,-99,-99,-99,-99,-99
630,Iran,1946,1979, Assyrians,630-ASS,630-CHR,,1,63003000,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Arabs,630-ARA,,"630-SUA, 630-SHA",,63001000,63009,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Armenians,630-ARM,630-CHR,,1,63002000,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Azeri,630-AZE,630-SHI,,1,63004000,63002,-99,-99,10,30,3,1,20,30
630,Iran,1946,1979,Bahai,630-BAH,,,1,63005000,63003,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Baloch,630-BAL,630-SUN,,1,63010000,63005,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Christians,630-CHR,,"630-ARM, 630-ASS",,,63010,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Jews,630-JEW,,,1,63007000,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Kurds,630-KUR,,"630-SUK, 630-SHK",,63008000,63007,-99,1,0,20,3,1,0,10
630,Iran,1946,1979,Persians,630-PER,630-SHI,,1,63009000,,-99,-99,50,90,3,1,50,60
630,Iran,1946,1979,Shia,630-SHI,,"630-AZE, 630-PER, 630-SHA, 630-SHK",,,,-99,1,80,100,3,1,80,100
630,Iran,1946,1979,Shia Arabs,630-SHA,"630-ARA, 630-SHA",,1,,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Shia Kurds,630-SHK,"630-KUR, 630-SHI",,1,,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1960,Shia Kurds,630-SHK,"630-KUR, 630-SHI",,1,,,4,1,0,10,4,1,0,10
630,Iran,1946,1979,Sunni Arabs,630-SUA,"630-ARA, 630-SUN",,1,,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Sunni Kurds,630-SUK,"630-KUR, 630-SUN",,1,,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1960,Sunni Kurds,630-SUK,"630-KUR, 630-SUN",,1,,,2,2,0,10,2,2,0,10
630,Iran,1946,1979,Sunnis,630-SUN,,"630-TUR, 630-SUK, 630-SUA, 630-BAL",,,,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Turkmen,630-TUR,630-SUN,,1,63006000,63008,-99,-99,0,10,3,1,0,10
630,Iran,1946,1979,Zoroastrians,630-ZOR,,,1,63012000,,-99,-99,0,10,3,1,0,10
630,Iran,1980,2013, Assyrians,630-ASS,630-CHR,,1,63003000,,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Arabs,630-ARA,,"630-SUA, 630-SHA",,63001000,63009,-99,-99,0,10,-99,-99,0,10
630,Iran,1980,2013,Armenians,630-ARM,630-CHR,,1,63002000,,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Azeri,630-AZE,,,1,63004000,63002,3,1,20,30,3,1,20,30
630,Iran,1980,2013,Bahai,630-BAH,,,1,63005000,63003,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Baloch,630-BAL,630-SUN,,1,63010000,63005,2,1,0,10,2,1,0,10
